
Table 1 : anger Niter = 10000 Alpha = 0.050000 
Cond1         Cond2         Corr1  Corr2  Corr12 |    diff   p_value
Full model    Without FC    0.765  0.762  0.993  |  0.0033   0.2550  
Full model    Without FC    0.760  0.757  0.993  |  0.0033   0.2403  
Full model    Without FC    0.764  0.764  0.992  |  0.0002   0.9479  
Full model    Without FC    0.760  0.760  0.994  |  0.0004   0.8933  
Full model    Without FC    0.760  0.759  0.994  |  0.0017   0.5230  
Full model    Without FC    0.764  0.763  0.993  |  0.0020   0.4914  
Full model    Without FC    0.762  0.761  0.993  |  0.0019   0.5539  
Full model    Without FC    0.768  0.768  0.993  |  0.0008   0.7569  
Full model    Without CNN   0.766  0.726  0.948  |  0.0405   0.0002  
Full model    Without CNN   0.762  0.719  0.949  |  0.0430   0.0001  
Full model    Without CNN   0.763  0.717  0.949  |  0.0455   0.0001  
Full model    Without CNN   0.764  0.724  0.946  |  0.0400   0.0001  
